eval_condition,test_env,policy_family,train_seed,policy_label,checkpoint,agent_cfg_path,eval_seed,num_envs,episode_index,source_env_index,has_obstacles,n_obstacles,episode_length,episode_return,grasp_success,task_completion_time,collision_frequency,near_obstacle_rate,mean_clearance,min_clearance,max_object_z,reward_term_reaching_object,reward_term_lifting_object,reward_term_object_goal_tracking,reward_term_object_goal_tracking_fine_grained,reward_term_action_rate,reward_term_joint_vel,reward_term_obstacle_1_penalty,reward_term_obstacle_2_penalty,reward_term_obstacle_contact_penalty,reward_term_obstacle_3_penalty,reward_term_obstacle_4_penalty
BL,Isaac-Franka-Grasping-Baseline-v0,Baseline,42,BL_s42,C:\Users\Rei\Documents\Thesis-Final\logs\rl_games\baseline\baseline42\nn\last_franka_lift_ep_1500_rew__112.23001_.pth,c:\users\rei\documents\thesis-final\source\isaaclab_tasks\isaaclab_tasks\manager_based\manipulation\lift\config\franka\agents\rl_games_ppo_cfg.yaml,42,16,30,14,False,0,250.0,149.5909881591797,1.0,76.0,0.0,0.0,nan,nan,0.34568658471107483,4.09929084777832,75.0,62.596702575683594,7.9031982421875,-0.0005016941577196121,-0.007661325857043266,0.0,0.0,0.0,,
BL,Isaac-Franka-Grasping-Baseline-v0,Baseline,42,BL_s42,C:\Users\Rei\Documents\Thesis-Final\logs\rl_games\baseline\baseline42\nn\last_franka_lift_ep_1500_rew__112.23001_.pth,c:\users\rei\documents\thesis-final\source\isaaclab_tasks\isaaclab_tasks\manager_based\manipulation\lift\config\franka\agents\rl_games_ppo_cfg.yaml,42,16,31,15,False,0,250.0,152.51007080078125,1.0,76.0,0.0,0.0,nan,nan,0.32278144359588623,3.806640386581421,75.0,64.41142272949219,9.302196502685547,-0.0005524095031432807,-0.00959588959813118,0.0,0.0,0.0,,
BL,Isaac-Franka-Grasping-Baseline-v0,Baseline,42,BL_s42,C:\Users\Rei\Documents\Thesis-Final\logs\rl_games\baseline\baseline42\nn\last_franka_lift_ep_1500_rew__112.23001_.pth,c:\users\rei\documents\thesis-final\source\isaaclab_tasks\isaaclab_tasks\manager_based\manipulation\lift\config\franka\agents\rl_games_ppo_cfg.yaml,42,16,32,1,False,0,85.0,28.828542709350586,0.0,85.0,0.0,0.0,nan,nan,0.40535783767700195,0.6499743461608887,23.699987411499023,4.480406761169434,0.0033155924174934626,-0.00026960973627865314,-0.004890529904514551,0.0,0.0,0.0,,
BL,Isaac-Franka-Grasping-Baseline-v0,Baseline,42,BL_s42,C:\Users\Rei\Documents\Thesis-Final\logs\rl_games\baseline\baseline42\nn\last_franka_lift_ep_1500_rew__112.23001_.pth,c:\users\rei\documents\thesis-final\source\isaaclab_tasks\isaaclab_tasks\manager_based\manipulation\lift\config\franka\agents\rl_games_ppo_cfg.yaml,42,16,33,0,False,0,250.0,157.04205322265625,1.0,75.0,0.0,0.0,nan,nan,0.4920152723789215,4.148782730102539,75.0,65.38103485107422,12.521919250488281,-0.0006401004502549767,-0.009087657555937767,0.0,0.0,0.0,,
BL,Isaac-Franka-Grasping-Baseline-v0,Baseline,42,BL_s42,C:\Users\Rei\Documents\Thesis-Final\logs\rl_games\baseline\baseline42\nn\last_franka_lift_ep_1500_rew__112.23001_.pth,c:\users\rei\documents\thesis-final\source\isaaclab_tasks\isaaclab_tasks\manager_based\manipulation\lift\config\franka\agents\rl_games_ppo_cfg.yaml,42,16,34,2,False,0,250.0,141.63986206054688,1.0,76.0,0.0,0.0,nan,nan,0.4959317147731781,3.767437219619751,75.0,57.98109817504883,4.901106357574463,-0.0005147882038727403,-0.00925019197165966,0.0,0.0,0.0,,
BL,Isaac-Franka-Grasping-Baseline-v0,Baseline,42,BL_s42,C:\Users\Rei\Documents\Thesis-Final\logs\rl_games\baseline\baseline42\nn\last_franka_lift_ep_1500_rew__112.23001_.pth,c:\users\rei\documents\thesis-final\source\isaaclab_tasks\isaaclab_tasks\manager_based\manipulation\lift\config\franka\agents\rl_games_ppo_cfg.yaml,42,16,35,3,False,0,250.0,149.40927124023438,1.0,76.0,0.0,0.0,nan,nan,0.3837011456489563,4.109373092651367,75.0,62.492958068847656,7.8135600090026855,-0.00034220231464132667,-0.0062955995090305805,0.0,0.0,0.0,,
BL,Isaac-Franka-Grasping-Baseline-v0,Baseline,42,BL_s42,C:\Users\Rei\Documents\Thesis-Final\logs\rl_games\baseline\baseline42\nn\last_franka_lift_ep_1500_rew__112.23001_.pth,c:\users\rei\documents\thesis-final\source\isaaclab_tasks\isaaclab_tasks\manager_based\manipulation\lift\config\franka\agents\rl_games_ppo_cfg.yaml,42,16,36,4,False,0,250.0,152.88002014160156,1.0,76.0,0.0,0.0,nan,nan,0.4220312237739563,3.9904768466949463,75.0,63.76213073730469,10.136223793029785,-0.000616171455476433,-0.00824363250285387,0.0,0.0,0.0,,
BL,Isaac-Franka-Grasping-Baseline-v0,Baseline,42,BL_s42,C:\Users\Rei\Documents\Thesis-Final\logs\rl_games\baseline\baseline42\nn\last_franka_lift_ep_1500_rew__112.23001_.pth,c:\users\rei\documents\thesis-final\source\isaaclab_tasks\isaaclab_tasks\manager_based\manipulation\lift\config\franka\agents\rl_games_ppo_cfg.yaml,42,16,37,5,False,0,250.0,160.96066284179688,1.0,76.0,0.0,0.0,nan,nan,0.328545480966568,4.04378604888916,75.0,67.7943344116211,14.128701210021973,-0.0003223437524866313,-0.005782340187579393,0.0,0.0,0.0,,
BL,Isaac-Franka-Grasping-Baseline-v0,Baseline,42,BL_s42,C:\Users\Rei\Documents\Thesis-Final\logs\rl_games\baseline\baseline42\nn\last_franka_lift_ep_1500_rew__112.23001_.pth,c:\users\rei\documents\thesis-final\source\isaaclab_tasks\isaaclab_tasks\manager_based\manipulation\lift\config\franka\agents\rl_games_ppo_cfg.yaml,42,16,38,6,False,0,250.0,146.34800720214844,1.0,75.0,0.0,0.0,nan,nan,0.4779601991176605,4.166950225830078,75.0,60.43886184692383,6.751756191253662,-0.0004127992724534124,-0.009065596386790276,0.0,0.0,0.0,,
BL,Isaac-Franka-Grasping-Baseline-v0,Baseline,42,BL_s42,C:\Users\Rei\Documents\Thesis-Final\logs\rl_games\baseline\baseline42\nn\last_franka_lift_ep_1500_rew__112.23001_.pth,c:\users\rei\documents\thesis-final\source\isaaclab_tasks\isaaclab_tasks\manager_based\manipulation\lift\config\franka\agents\rl_games_ppo_cfg.yaml,42,16,39,7,False,0,250.0,146.62669372558594,1.0,76.0,0.0,0.0,nan,nan,0.4230642318725586,3.8659496307373047,75.0,60.641910552978516,7.129602432250977,-0.00046906498027965426,-0.010280725546181202,0.0,0.0,0.0,,
